YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0858869	0.7428289	0.2029169	0.6275499	0.9702476	0.0641369	0.7678885	0.5588330	0.6801068	0.6660383	0.1551791	0.8270000	0.6713957	0.3010372	0.6564276	0.4987166	0.2697988	0.3967418	0.7371551	0.5112689	0.7000814	0.5611850	0.7878431	0.0347624	0.0326836	0.7073283	0.6269189	0.7013452	0.0238001	0.3069110	0.0952571	0.2603979	0.4792734	0.6076169	0.7031767	0.4324004	0.6058724	0.3571048	0.4036537	0.7486089	0.2362100	0.6105024	0.6681057	0.0212363	0.5561197	0.4589441	0.6176331	0.6933942	0.2366799	0.6313894
0.0706704	0.7927787	0.1083259	0.7343204	0.7371014	0.0630337	0.7558155	0.5321870	0.8064104	0.6692387	0.4146048	0.4227160	0.8596103	0.2885327	0.3965796	0.5807550	0.0424450	0.2604278	0.7282221	0.7180451	0.8234595	0.5127896	0.6985488	0.0455777	0.0572272	0.6535088	0.6962499	0.5773631	0.0232668	0.3437997	0.0603450	0.2655353	0.5701274	0.5912145	0.8055436	0.4072324	0.7003335	0.4857425	0.2581092	0.6363716	0.3967133	0.6037489	0.5242629	0.0290763	0.6014283	0.4513696	0.5665507	0.6541473	0.2047525	0.6156109
0.0910320	0.6745869	0.1314776	0.9090710	0.8332690	0.0276188	0.6084225	0.5372528	0.8076194	0.7391975	0.4370825	0.7371565	0.3135778	0.2584775	0.5623405	0.4320516	0.0699833	0.3167356	0.5810947	0.7217740	0.7495312	0.6638431	0.8155955	0.0204523	0.0916537	0.6396388	0.6887922	0.6301850	0.0273002	0.3076739	0.0400344	0.3085894	0.5525343	0.5509711	0.7717615	0.6050193	0.7759075	0.4367004	0.3989969	0.7579665	0.2522580	0.5870136	0.5365133	0.0688628	0.6891944	0.4860072	0.5038321	0.6725774	0.1859184	0.7887634
0.0706560	0.6610504	0.1375699	0.6134130	0.8321438	0.0042484	0.6851072	0.3870573	0.8042747	0.6780193	0.7439983	0.7939770	0.7652964	0.1798243	0.1082418	0.4494070	0.0149599	0.3558404	0.6401340	0.6911724	0.6598236	0.4569228	0.6957687	0.0129232	0.4040482	0.6730550	0.7007120	0.6221924	0.0063777	0.3260508	0.0451277	0.1847472	0.4730092	0.4511115	0.7374289	0.5246501	0.6068433	0.4485605	0.3886460	0.7500025	0.2506340	0.5836897	0.5023264	0.0261321	0.6762262	0.4405488	0.5383081	0.5990502	0.1328378	0.7292104
0.0491159	0.6437135	0.1427235	0.7412070	0.8527173	0.0328317	0.6741396	0.3987900	0.8032444	0.7643166	0.5274701	0.6953873	0.7151897	0.3563237	0.2402229	0.5208308	0.0407137	0.2864521	0.6406629	0.7837178	0.7759796	0.4207582	0.8179827	0.0421955	0.0867864	0.8367986	0.7538034	0.6719787	0.0072141	0.2582964	0.0334933	0.2564855	0.4148291	0.6916050	0.7163954	0.5326724	0.7145756	0.3962283	0.3823207	0.7449940	0.2876848	0.4315601	0.5702051	0.0884367	0.7430736	0.3851496	0.5804466	0.7094881	0.1942866	0.7225492
0.0329318	0.6949304	0.1414734	0.7794890	0.7020627	0.0237128	0.6268003	0.5539679	0.7519751	0.6019158	0.4136725	0.7074524	0.7901632	0.2199292	0.6189642	0.2263029	0.0470236	0.3229677	0.7985930	0.9247643	0.7081084	0.4297889	0.8369411	0.0215898	0.1304109	0.8541863	0.4644984	0.8830762	0.0185618	0.3991902	0.0259496	0.2841550	0.4740370	0.7147013	0.6999874	0.5407439	0.7219778	0.3950987	0.3039527	0.7836763	0.2817128	0.5583837	0.6531133	0.0693854	0.6719356	0.4835218	0.5822896	0.6305553	0.2705861	0.4942014
0.0542872	0.7170610	0.0781314	0.7842475	0.7658792	0.0335600	0.8852630	0.5400500	0.7575514	0.7820723	0.5560326	0.6461090	0.7810890	0.3692816	0.5219777	0.6099627	0.0192848	0.3456624	0.6337229	0.7358514	0.6179849	0.5663645	0.7780799	0.0193271	0.1462102	0.7345799	0.6728373	0.6404533	0.0109301	0.2952911	0.0784807	0.2444218	0.4797290	0.6959415	0.7687751	0.4239396	0.8645543	0.3862976	0.3538259	0.6242517	0.2601826	0.5253551	0.6536495	0.0380805	0.6903307	0.4554400	0.5744570	0.6465989	0.2567736	0.8796308
0.0684116	0.8291887	0.0868946	0.6343126	0.7541378	0.0402224	0.6511677	0.4891438	0.7753439	0.7886862	0.2753185	0.6241143	0.6172261	0.2187927	0.5811950	0.4568914	0.0655708	0.2345182	0.6526295	0.7034007	0.7322452	0.3893472	0.6694136	0.0204950	0.0399639	0.6170732	0.6118212	0.7843687	0.0371517	0.3774181	0.0458199	0.3515518	0.4337237	0.5910659	0.7583484	0.6150929	0.8183965	0.4696557	0.3777387	0.7173973	0.2859445	0.5580391	0.6271249	0.0385619	0.6775787	0.5309159	0.5299932	0.7242673	0.2627756	0.6073021
0.0499277	0.7478939	0.1233831	0.6545199	0.7093195	0.0443801	0.6642752	0.4907482	0.6600255	0.7608322	0.4940742	0.8609798	0.6536013	0.2394172	0.5125227	0.6731062	0.0509733	0.3489931	0.3045587	0.7691763	0.7499182	0.4697335	0.7134588	0.0180326	0.0735697	0.8090677	0.6959697	0.7293279	0.0199426	0.2028674	0.0544770	0.2253823	0.6178561	0.5560192	0.6627326	0.4486805	0.6376015	0.5698283	0.3829992	0.6135564	0.3622136	0.6522319	0.5226061	0.0806119	0.6998487	0.4338519	0.6253386	0.6909675	0.2123506	0.6914964
0.1038118	0.6458661	0.1392106	0.6354873	0.6654317	0.1680835	0.7328790	0.6306492	0.7995695	0.6070823	0.4114924	0.5328767	0.7495698	0.2701992	0.6192103	0.5630104	0.1573138	0.5166894	0.8907897	0.2588703	0.5647257	0.3705040	0.7812382	0.0608116	0.0469704	0.8103282	0.5856318	0.6635231	0.0096247	0.2567730	0.0665044	0.2813458	0.3681961	0.6305179	0.8305435	0.4449496	0.6247210	0.3739070	0.3972539	0.6367174	0.2789324	0.6330220	0.5642690	0.0546099	0.5749738	0.4760788	0.4692420	0.6806333	0.2443200	0.5215224
0.0733957	0.6147258	0.1045862	0.7415205	0.6454591	0.0208293	0.7775106	0.5291367	0.6508044	0.7270498	0.3533472	0.5766486	0.7461121	0.2574327	0.7048063	0.5150841	0.0564450	0.2999544	0.6962404	0.7516513	0.3805864	0.3810694	0.6575610	0.0702596	0.0380648	0.6963970	0.6677089	0.7336840	0.0320743	0.4105249	0.0865266	0.2481524	0.5201362	0.7383672	0.8893367	0.4814591	0.6114764	0.3373992	0.2483898	0.7406137	0.2296304	0.5609183	0.6072246	0.0234166	0.6812537	0.4774314	0.5364494	0.6219244	0.2160703	0.6001474
